Timestamp,Class,Confidence,Restricted Area Violation
2025-02-05 11:08:01,person,0.8497611284255981,Yes
2025-02-05 11:08:03,person,0.8520737290382385,Yes
2025-02-06 07:29:12,person,0.83421790599823,Yes
2025-02-06 07:29:14,person,0.8263793587684631,Yes
2025-02-06 07:29:16,person,0.7972186207771301,Yes
2025-02-06 07:29:18,person,0.8228918313980103,Yes
2025-02-06 07:29:20,person,0.7872987389564514,Yes
2025-02-06 07:42:58,person,0.8467214107513428,Yes
2025-02-06 07:43:00,person,0.7985122203826904,Yes
2025-02-06 07:43:03,person,0.8142217993736267,Yes
2025-02-06 07:43:05,person,0.8247408866882324,Yes
2025-02-06 07:43:07,person,0.814414381980896,Yes
2025-02-06 07:43:09,person,0.8138629198074341,Yes
2025-02-06 07:43:11,person,0.8193235397338867,Yes
2025-02-06 07:43:13,person,0.8812813758850098,Yes
2025-02-06 07:43:15,person,0.7705543041229248,Yes
2025-02-06 07:43:17,person,0.8255653977394104,Yes
2025-02-06 07:43:19,person,0.7684829235076904,Yes
2025-02-06 07:43:21,person,0.8045961856842041,Yes
2025-02-06 07:43:23,person,0.8145350217819214,Yes
2025-02-06 07:43:25,person,0.7992455363273621,Yes
2025-02-06 07:43:28,person,0.793578565120697,Yes
2025-02-06 07:43:30,person,0.7778505682945251,Yes
2025-02-06 07:43:32,person,0.8427488207817078,Yes
2025-02-06 07:43:34,person,0.81672602891922,Yes
2025-02-06 07:43:36,person,0.844976544380188,Yes
2025-02-06 07:43:38,person,0.8865888118743896,Yes
2025-02-06 07:43:40,person,0.8521791100502014,Yes
2025-02-06 07:43:42,person,0.864017903804779,Yes
2025-02-06 07:43:44,person,0.8778252005577087,Yes
2025-02-06 07:43:46,person,0.8876146078109741,Yes
2025-02-06 07:43:48,person,0.8584750890731812,Yes
2025-02-06 07:43:50,person,0.8210167288780212,Yes
2025-02-06 07:43:52,person,0.8824251890182495,Yes
2025-02-06 07:43:55,person,0.8603346943855286,Yes
2025-02-06 07:43:57,person,0.8636060357093811,Yes
2025-02-06 07:43:59,person,0.864295482635498,Yes
2025-02-06 08:25:21,cell phone,0.8746681213378906,Yes
2025-02-06 08:25:23,cell phone,0.8459277749061584,Yes
2025-02-06 08:25:25,cell phone,0.907062828540802,Yes
2025-02-06 08:25:27,cell phone,0.8106028437614441,Yes
2025-02-06 08:25:30,cell phone,0.8375855684280396,Yes
